Command ID,Mapping
_Unshelve,PM
{00000000-0000-0000-0000-313370000001}:56:VSCommands.BreakInCurrentDocument,D
{132320BA-BC11-4A1E-8E7A-6833DD4D4D39}:256:Tools.WCFServiceConfigurationEditor,
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:103:Edit.SelectionCancel,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:104:Edit.ParameterInfo,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:105:Edit.ViewWhiteSpace,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1109:Project.IncludeInProject,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1110:Project.ExcludeFromProject,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1113:Project.AddReference,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:112:Edit.FormatSelection,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:114:Edit.InsertFileAsText,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:119:Edit.LineUpExtendColumn,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:120:Edit.LineDownExtendColumn,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:121:Edit.ToggleWordWrap,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:129:Edit.ToggleOutliningExpansion,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:130:Edit.ToggleAllOutlining,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:133:Edit.CollapsetoDefinitions,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:136:Edit.CommentSelection,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:137:Edit.UncommentSelection,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:138:Edit.OpenFile,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:143:Edit.FormatDocument,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:147:View.ShowSmartTag,
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:15:Edit.DocumentStart,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1561:Edit.SurroundWith,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:16:Edit.DocumentStartExtend,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1600:ToggleOutputWindowWordWrap,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1610:File.CopyFullPath,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1615:Edit.ClearOutputWindow,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1617:Edit.GoToOutputWindowNextLocation,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1632:OtherContextMenus.StubProject.EditProjectFile,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1635:Project.OpenFolderinWindowsExplorer,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1635:ProjectandSolutionContextMenus.Project.OpenFolderinFileExplorer,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1642:File.OpenContainingFolder,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1650:File.CloseAllButThis,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1680:View.ClassViewGoToSearchCombo,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:17:Edit.DocumentEnd,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:19:Edit.LineStart,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:20:Edit.LineStartExtend,D
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:2210:Errors,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:2211:Warnings,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:2212:Messages,LC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:2245:View.StartPage,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:23:Edit.LineEnd,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:2301:EditorContextMenus.CodeWindow.ViewCallHierarchy,U
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:2303:Edit.ToggleCompletionMode,LC
