Command Id;Activity
{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:278:Debug.LocationToolbar.ProcessCombo;D
TextControl.Backspace;E
TextControl.Enter;E
Un-Minify document;E
{E396B698-E00E-444B-9F5F-3DCB1EF74E61}:4185:EditorContextMenus.CodeWindow.WebEssentials.UnMinifydocument;E
{5EFC7975-14BC-11CF-9B2B-00AA00573819}:17:Edit.Delete;E
{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:280:Debug.LocationToolbar.ThreadCombo;D
Un-minify;E
{C9DD4A59-47FB-11D2-83E7-00C04F9902C1}:288:Debug.LocationToolbar.StackFrameCombo;D
{F718CA06-CF4F-4A0C-9106-E79E9EE5E7CD}:16:OtherContextMenus.JSONContext.Unminify;E
TextControl.Up;N
TextControl.Down;N
TextControl.Left;N
TextControl.Right;N
HTML Encode;E
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:23:Edit.LineEnd;N
{E396B698-E00E-444B-9F5F-3DCB1EF74E41}:258:WebEssentials.HTMLEncode;E
Label With Local Scope;O
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:19:Edit.LineStart;N
{1E58696E-C90F-11D2-AAB2-00C04F688DDE}:6:VSLabelAddIn.Connect.LabelWithLocalScope;O
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:103:Edit.SelectionCancel;E
TextControl.Down.Selection;E
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:20:Edit.LineStartExtend;E
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6359:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithLatestVersion;VC
Check _In;VC
Pending Changes;VC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:24:Edit.LineEndExtend;E
{5BF14E63-E267-4787-B20B-B814FD043B38}:21010:File.TfsGetLatestVersion;VC
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6356:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageUndo;VC
TextControl.Left.Selection;E
Compare...;VC
{5BF14E63-E267-4787-B20B-B814FD043B38}:21508:File.TfsHistory;VC
Source Control Explorer;VC
TextControl.Right.Selection;E
{5BF14E63-E267-4787-B20B-B814FD043B38}:21011:ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextGetLatestVersion;VC
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6358:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithWorkspaceVersion;VC
With Latest Version...;VC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:96:Edit.WordNext;N
TextControl.Up.Selection;E
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:93:Edit.WordPrevious;N
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:4738:TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.Compare.TfsContextPendingCheckinsCompareWithLatestVersion;VC
{5BF14E63-E267-4787-B20B-B814FD043B38}:21507:ClassViewContextMenus.ClassViewItem.TfsContextCompare;VC
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6353:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageExcludeChanges;VC
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:97:Edit.WordNextExtend;E
{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:94:Edit.WordPreviousExtend;E
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:4785:TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryCompare;VC
{B371C497-6D81-4B13-9DB8-8E3E6ABAD0C3}:786:TSqlEditorDatabaseCombo;E
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6192:File.TfsContextExplorerMerge;VC
Undo Pending Changes...;VC
