FirstCommand,SecondCommand,Count
TextControl.Delete,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:17:Edit.Delete,6395
Step Into,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:248:Debug.StepInto,4198
TextControl.Paste,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:26:Edit.Paste,1118
Save All,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:224:File.SaveAll,816
Step Over,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:249:Debug.StepOver,618
Stop Debugging,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:179:Debug.StopDebugging,549
TextControl.Copy,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:15:Edit.Copy,479
Continue,{6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}:257:Debug.StartDebugTarget,383
{6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}:257:Debug.StartDebugTarget,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:295:Debug.Start,380
Achievements,KaVE.BP.Achievements.AchievementWindow,244
Build Solution,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:882:Build.BuildSolution,234
Step Out,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:250:Debug.StepOut,180
Continue,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:295:Debug.Start,164
TextControl.Cut,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:16:Edit.Cut,138
Reset,KaVE.BP.Achievements.Reset,126
{5EFC7975-14BC-11CF-9B2B-00AA00573819}:295:Debug.Start,{6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}:257:Debug.StartDebugTarget,126
Undo...,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4096:Team.Git.Undo,114
New Item...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:220:Project.AddNewItem,104
Statistic,KaVE.BP.Achievements.StatisticWindow,104
Log Replay,KaVE.BP.Achievements.LogCollector,93
Run Unit Tests,ReSharper_UnitTest_RunContext,92
Achievements anzeigen,KaVE.BP.Achievements.AchievementWindow,82
Statistiken anzeigen,KaVE.BP.Achievements.StatisticWindow,76
Feedback Manager,KaVE.VsFeedbackGenerator.SessionManager,69
Delete,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:17:Edit.Delete,64
Rebuild Solution,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:883:Build.RebuildSolution,62
Properties,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:397:ClassViewContextMenus.ClassViewMultiselectProjectreferencesItems.Properties,56
Show All Files,{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:600:Project.ShowAllFiles,55
Compare with Unmodified...,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4097:Team.Git.CompareWithUnmodified,55
Open Command Prompt,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4115:Team.Git.OpenCommandPrompt,40
Include In Project,{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:1109:Project.IncludeInProject,40
Log Replay,KaVE.BP.Achievements.LogReplay,40
Copy,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:15:Edit.Copy,36
Build,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:892:ClassViewContextMenus.ClassViewProject.Build,33
Display Statistic,KaVE.BP.Achievements.StatisticWindow,32
Options...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:264:Tools.Options,28
New Vertical Tab Group,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:269:Window.NewVerticalTabGroup,27
Manage Branches,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4107:Team.Git.ManageBranches,26
Save Program.cs,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:331:File.SaveSelectedItems,26
View History...,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4101:Team.Git.ViewHistory,25
Start,{6E87CFAD-6C05-4ADF-9CD7-3B7943875B7C}:257:Debug.StartDebugTarget,24
Exclude,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4100:Team.Git.Remove,23
Paste,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:26:Edit.Paste,23
Comment Selection,{1496A755-94DE-11D0-8C3F-00C04FC2AAE2}:136:Edit.CommentSelection,22
Find Usages,FindUsages,22
Open File...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:222:File.OpenFile,19
Reset data,KaVE.BP.Achievements.Reset,18
Manage NuGet Packages for Solution...,{25FD982B-8CAE-4CBD-A440-E03FFCCDE106}:512:Tools.ManageNuGetPackagesforSolution,18
Start Without Debugging,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:368:Debug.StartWithoutDebugging,16
Restart,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:296:Debug.Restart,16
Add,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4100:Team.Git.Remove,16
Go to Implementation,GotoImplementation,16
Include,{57735D06-C920-4415-A2E0-7D6E6FBDFA99}:4100:Team.Git.Remove,15
Project/Solution...,{5EFC7975-14BC-11CF-9B2B-00AA00573819}:217:File.OpenProject,15
