Command Id;Tool
Un-Minify document;WebEssentials
{E396B698-E00E-444B-9F5F-3DCB1EF74E61}:4185:EditorContextMenus.CodeWindow.WebEssentials.UnMinifydocument;WebEssentials
Un-minify;WebEssentials
{F718CA06-CF4F-4A0C-9106-E79E9EE5E7CD}:16:OtherContextMenus.JSONContext.Unminify;WebEssentials
HTML Encode;WebEssentials
{E396B698-E00E-444B-9F5F-3DCB1EF74E41}:258:WebEssentials.HTMLEncode;WebEssentials
Label With Local Scope;VSLabel
{1E58696E-C90F-11D2-AAB2-00C04F688DDE}:6:VSLabelAddIn.Connect.LabelWithLocalScope;VSLabel
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6359:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithLatestVersion;VCS
Check _In;VCS
Pending Changes;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21010:File.TfsGetLatestVersion;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6356:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageUndo;VCS
Compare...;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21508:File.TfsHistory;VCS
Source Control Explorer;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21011:ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextGetLatestVersion;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6358:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithWorkspaceVersion;VCS
With Latest Version...;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:4738:TeamFoundationContextMenus.SourceControlPendingChangesSourceFiles.Compare.TfsContextPendingCheckinsCompareWithLatestVersion;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21507:ClassViewContextMenus.ClassViewItem.TfsContextCompare;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6353:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageExcludeChanges;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:4785:TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryCompare;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6192:File.TfsContextExplorerMerge;VCS
Undo Pending Changes...;VCS
Find Shelvesets;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:8256:TeamFoundationContextMenus.PendingChangesPageMoreLink.TfsContextPendingChangesFindShelvesets;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:8264:TeamFoundationContextMenus.WorkItemActionLink.TfsContextPendingChangesPageWorkItemActionLinkAssociate;VCS
Check In...;VCS
Include;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6352:TeamFoundationContextMenus.PendingChangesPageChangestoExclude.TfsContextPendingChangesPageIncludeChanges;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:6360:TeamFoundationContextMenus.PendingChangesPageChangestoInclude.TfsContextPendingChangesPageCompareWithPreviousVersion;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:11157:ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextCheckOutForEdit;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21501:ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextGetSpecificVersion;VCS
Compare with Previous Version;VCS
Connect to Team Projects;VCS
She_lve;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:11155:ClassViewContextMenus.ClassViewProject.SourceControl.TfsContextCheckIn;VCS
Accept Merge;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:8224:TeamFoundationContextMenus.MergeContextMenu.AcceptMerge;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21002:File.TfsCheckOut;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21500:File.TfsGetSpecificVersion;VCS
{15061D55-E726-4E3C-97D3-1B871D9B5AE9}:8193:Team.Refresh;VCS
{5D4C0442-C0A2-4BE8-9B4D-AB1C28450942}:258:Diff.NextDifference;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:4612:View.TfsSourceControlExplorer;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21506:File.TfsCompare;VCS
{5BF14E63-E267-4787-B20B-B814FD043B38}:21014:File.TfsCheckIn;VCS
{FFE1131C-8EA1-4D05-9728-34AD4611BDA9}:4787:TeamFoundationContextMenus.SourceControlHistoryChangesets.TfsContextHistoryDetails;VCS
Changeset Details;VCS
Next Conflict (F9);VCS
_Unshelve;VCS
Pending Changes (VS2010 Style);VCS
